,claim_id,claim_text,claim_label,evidences,evidence text
0,claim-1937,"Not only is there no scientific evidence that CO2 is a pollutant, higher CO2 concentrations actually help ecosystems support more plant and animal life.",DISPUTED,evidence-442946,"At very high concentrations (100 times atmospheric concentration, or greater), carbon dioxide can be toxic to animal life, so raising the concentration to 10,000 ppm (1%) or higher for several hours will eliminate pests such as whiteflies and spider mites in a greenhouse."
1,claim-1937,"Not only is there no scientific evidence that CO2 is a pollutant, higher CO2 concentrations actually help ecosystems support more plant and animal life.",DISPUTED,evidence-1194317,"Plants can grow as much as 50 percent faster in concentrations of 1,000 ppm CO 2 when compared with ambient conditions, though this assumes no change in climate and no limitation on other nutrients."
2,claim-1937,"Not only is there no scientific evidence that CO2 is a pollutant, higher CO2 concentrations actually help ecosystems support more plant and animal life.",DISPUTED,evidence-12171,Higher carbon dioxide concentrations will favourably affect plant growth and demand for water.
3,claim-126,El Niño drove record highs in global temperatures suggesting rise may not be down to man-made emissions.,REFUTES,evidence-338219,"While ‘climate change’ can be due to natural forces or human activity, there is now substantial evidence to indicate that human activity – and specifically increased greenhouse gas (GHGs) emissions – is a key factor in the pace and extent of global temperature increases."
4,claim-126,El Niño drove record highs in global temperatures suggesting rise may not be down to man-made emissions.,REFUTES,evidence-1127398,"This acceleration is due mostly to human-caused global warming, which is driving thermal expansion of seawater and the melting of land-based ice sheets and glaciers."
5,claim-2510,"In 1946, PDO switched to a cool phase.",SUPPORTS,evidence-530063,"There is evidence of reversals in the prevailing polarity (meaning changes in cool surface waters versus warm surface waters within the region) of the oscillation occurring around 1925, 1947, and 1977; the last two reversals corresponded with dramatic shifts in salmon production regimes in the North Pacific Ocean."
6,claim-2510,"In 1946, PDO switched to a cool phase.",SUPPORTS,evidence-984887,"1945/1946: The PDO changed to a ""cool"" phase, the pattern of this regime shift is similar to the 1970s episode with maximum amplitude in the subarctic and subtropical front but with a greater signature near the Japan while the 1970s shift was stronger near the American west coast."
7,claim-2021,Weather Channel co-founder John Coleman provided evidence that convincingly refutes the concept of anthropogenic global warming.,DISPUTED,evidence-1177431,"There is no convincing scientific evidence that human release of carbon dioxide, methane, or other greenhouse gases is causing or will, in the foreseeable future, cause catastrophic heating of the Earth's atmosphere and disruption of the Earth's climate."
8,claim-2021,Weather Channel co-founder John Coleman provided evidence that convincingly refutes the concept of anthropogenic global warming.,DISPUTED,evidence-782448,"He has called global warming the ""greatest scam in history"" and made numerous false or misleading claims about climate science."
9,claim-2021,Weather Channel co-founder John Coleman provided evidence that convincingly refutes the concept of anthropogenic global warming.,DISPUTED,evidence-540069,"International Council of Academies of Engineering and Technological Sciences (CAETS) in 2007, issued a Statement on Environment and Sustainable Growth: As reported by the Intergovernmental Panel on Climate Change (IPCC), most of the observed global warming since the mid-20th century is very likely due to human-produced emission of greenhouse gases and this warming will continue unabated if present anthropogenic emissions continue or, worse, expand without control."
10,claim-2021,Weather Channel co-founder John Coleman provided evidence that convincingly refutes the concept of anthropogenic global warming.,DISPUTED,evidence-352655,"""Climate Scientists Virtually Unanimous Anthropogenic Global Warming Is True""."
11,claim-2021,Weather Channel co-founder John Coleman provided evidence that convincingly refutes the concept of anthropogenic global warming.,DISPUTED,evidence-1007867,Scientists Reach 100% Consensus on Anthropogenic Global Warming.
12,claim-2449,"""January 2008 capped a 12 month period of global temperature drops on all of the major well respected indicators.",NOT_ENOUGH_INFO,evidence-1010750,With average temperature +8.1 °C (47 °F).
13,claim-2449,"""January 2008 capped a 12 month period of global temperature drops on all of the major well respected indicators.",NOT_ENOUGH_INFO,evidence-91661,"The Iranian / Persian calendar, currently used in Iran and Afghanistan, also has 12 months."
14,claim-2449,"""January 2008 capped a 12 month period of global temperature drops on all of the major well respected indicators.",NOT_ENOUGH_INFO,evidence-722725,All of these events can have wide variations of more than a month from year to year.
15,claim-2449,"""January 2008 capped a 12 month period of global temperature drops on all of the major well respected indicators.",NOT_ENOUGH_INFO,evidence-554161,"Its average duration is 365.256363004 days (365 d 6 h 9 min 9.76 s) (at the epoch J2000.0 = January 1, 2000, 12:00:00 TT)."
16,claim-2449,"""January 2008 capped a 12 month period of global temperature drops on all of the major well respected indicators.",NOT_ENOUGH_INFO,evidence-430839,It has a duration of approximately 354.37 days.
17,claim-851,"The last time the planet was even four degrees warmer, Peter Brannen points out in The Ends of the World, his new history of the planet’s major extinction events, the oceans were hundreds of feet higher.",NOT_ENOUGH_INFO,evidence-226174,"Sea levels were high worldwide, and much of the land lay under shallow seas, where tropical reef organisms lived."
18,claim-851,"The last time the planet was even four degrees warmer, Peter Brannen points out in The Ends of the World, his new history of the planet’s major extinction events, the oceans were hundreds of feet higher.",NOT_ENOUGH_INFO,evidence-1049316,"The elevation of the land surface varies from the low point of −418 m (−1,371 ft) at the Dead Sea, to a maximum altitude of 8,848 m (29,029 ft) at the top of Mount Everest."
19,claim-851,"The last time the planet was even four degrees warmer, Peter Brannen points out in The Ends of the World, his new history of the planet’s major extinction events, the oceans were hundreds of feet higher.",NOT_ENOUGH_INFO,evidence-358301,"As a result, the mean annual air temperature at sea level decreases by about 0.4 °C (0.7 °F) per degree of latitude from the equator."
20,claim-851,"The last time the planet was even four degrees warmer, Peter Brannen points out in The Ends of the World, his new history of the planet’s major extinction events, the oceans were hundreds of feet higher.",NOT_ENOUGH_INFO,evidence-493329,"In the early and middle Ordovician, temperatures were mild, but at the beginning of the Late Ordovician, from 460 to 450 Ma, volcanoes along the margin of the Iapetus Ocean spewed massive amounts of carbon dioxide, a greenhouse gas, into the atmosphere, turning the planet into a hothouse."
21,claim-851,"The last time the planet was even four degrees warmer, Peter Brannen points out in The Ends of the World, his new history of the planet’s major extinction events, the oceans were hundreds of feet higher.",NOT_ENOUGH_INFO,evidence-610497,"The Ordovician saw the highest sea levels of the Paleozoic, and the low relief of the continents led to many shelf deposits being formed under hundreds of metres of water."
22,claim-2773,"Tree-ring proxy reconstructions are reliable before 1960, tracking closely with the instrumental record and other independent proxies.",DISPUTED,evidence-974673,The deviation of some tree ring proxy measurements from the instrumental record since the 1950s raises the question of the reliability of tree ring proxies in the period before the instrumental temperature record.
23,claim-2773,"Tree-ring proxy reconstructions are reliable before 1960, tracking closely with the instrumental record and other independent proxies.",DISPUTED,evidence-602109,"As there are few instrumental records before 1850, temperatures before then must be reconstructed based on proxy methods."
