,claim_id,claim_text,claim_label,evidences,evidence text
0,claim-752,[South Australia] has the most expensive electricity in the world.,SUPPORTS,evidence-67732,[citation needed] South Australia has the highest retail price for electricity in the country.
1,claim-752,[South Australia] has the most expensive electricity in the world.,SUPPORTS,evidence-572512,"""South Australia has the highest power prices in the world""."
2,claim-375,"when 3 per cent of total annual global emissions of carbon dioxide are from humans and Australia prod­uces 1.3 per cent of this 3 per cent, then no amount of emissions reductio­n here will have any effect on global climate.",NOT_ENOUGH_INFO,evidence-996421,"The 2011 UNEP Green Economy report states that ""[a]agricultural operations, excluding land use changes, produce approximately 13 per cent of anthropogenic global GHG emissions."
3,claim-375,"when 3 per cent of total annual global emissions of carbon dioxide are from humans and Australia prod­uces 1.3 per cent of this 3 per cent, then no amount of emissions reductio­n here will have any effect on global climate.",NOT_ENOUGH_INFO,evidence-1080858,"With a market share of 30% and (potentially) clean electricity, heat pumps could reduce global CO 2 emissions by 8% annually."
4,claim-375,"when 3 per cent of total annual global emissions of carbon dioxide are from humans and Australia prod­uces 1.3 per cent of this 3 per cent, then no amount of emissions reductio­n here will have any effect on global climate.",NOT_ENOUGH_INFO,evidence-208053,"In the modern era, emissions to the atmosphere from volcanoes are approximately 0.645 billion tonnes of CO 2 per year, whereas humans contribute 29 billion tonnes of CO 2 each year."
5,claim-375,"when 3 per cent of total annual global emissions of carbon dioxide are from humans and Australia prod­uces 1.3 per cent of this 3 per cent, then no amount of emissions reductio­n here will have any effect on global climate.",NOT_ENOUGH_INFO,evidence-699212,"Cumulative anthropogenic (i.e., human-emitted) emissions of CO 2 from fossil fuel use are a major cause of global warming, and give some indication of which countries have contributed most to human-induced climate change."
6,claim-375,"when 3 per cent of total annual global emissions of carbon dioxide are from humans and Australia prod­uces 1.3 per cent of this 3 per cent, then no amount of emissions reductio­n here will have any effect on global climate.",NOT_ENOUGH_INFO,evidence-832334,"Other countries with fast growing emissions are South Korea, Iran, and Australia (which apart from the oil rich Persian Gulf states, now has the highest percapita emission rate in the world)."
7,claim-1266,This means that the world is now 1C warmer than it was in pre-industrial times,SUPPORTS,evidence-889933,Multiple independently produced instrumental datasets confirm that the 2009–2018 decade was 0.93 ± 0.07 °C warmer than the pre-industrial baseline (1850–1900).
8,claim-1266,This means that the world is now 1C warmer than it was in pre-industrial times,SUPPORTS,evidence-694262,The planet is now 0.8 °C warmer than in pre-industrial times.
9,claim-871,"“As it happens, Zika may also be a good model of the second worrying effect — disease mutation.",NOT_ENOUGH_INFO,evidence-422399,"Genetic disorders are the result of deleterious mutations and can be due to spontaneous mutation in the affected individual, or can be inherited."
10,claim-871,"“As it happens, Zika may also be a good model of the second worrying effect — disease mutation.",NOT_ENOUGH_INFO,evidence-702226,"These errors, called mutations, can affect the phenotype of an organism, especially if they occur within the protein coding sequence of a gene."
11,claim-871,"“As it happens, Zika may also be a good model of the second worrying effect — disease mutation.",NOT_ENOUGH_INFO,evidence-286834,"This is especially useful studying diseases in adults by allowing expression after a certain period of growth, thus eliminating the deleterious effect of gene expression seen during stages of development in model organisms."
12,claim-871,"“As it happens, Zika may also be a good model of the second worrying effect — disease mutation.",NOT_ENOUGH_INFO,evidence-472751,"In addition, research was needed to determine the mechanism by which Zika produced these effects."
13,claim-871,"“As it happens, Zika may also be a good model of the second worrying effect — disease mutation.",NOT_ENOUGH_INFO,evidence-641043,"Zika also appears to have an equal tropism for cells of the developing eye, leading to high rates of eye abnormalities as well."
14,claim-2164,Greenland has only lost a tiny fraction of its ice mass,REFUTES,evidence-52981,"If iceberg calving has happened as an average, Greenland lost 294 Gt of its mass during 2007 (one km3 of ice weighs about 0.9 Gt)."
15,claim-2164,Greenland has only lost a tiny fraction of its ice mass,REFUTES,evidence-264761,"Findings show that Greenland has lost 3.8 trillion tonnes of ice since 1992, enough to raise sea levels by almost 11mm (1.06cm)."
16,claim-2164,Greenland has only lost a tiny fraction of its ice mass,REFUTES,evidence-947243,"""Greenland Glaciers Losing Ice Much Faster, Study Says""."
17,claim-2164,Greenland has only lost a tiny fraction of its ice mass,REFUTES,evidence-424102,"Between then and 2010, the mountain lost 80 percent of its ice — two-thirds of which since another scientific expedition in the 1970s."
18,claim-1607,CO2 limits won't cool the planet.,NOT_ENOUGH_INFO,evidence-913997,"Less energy reaches the upper atmosphere, which is therefore cooler because of this absorption."
19,claim-1607,CO2 limits won't cool the planet.,NOT_ENOUGH_INFO,evidence-955328,Occupational CO 2 exposure limits have been set in the United States at 0.5% (5000 ppm) for an eight-hour period.
20,claim-1607,CO2 limits won't cool the planet.,NOT_ENOUGH_INFO,evidence-401235,"As the temperature rises closer to the value the white daisies like, the white daisies outreproduce the black daisies, leading to a larger percentage of white surface, and more sunlight is reflected, reducing the heat input and eventually cooling the planet."
21,claim-1607,CO2 limits won't cool the planet.,NOT_ENOUGH_INFO,evidence-915569,Global warming is the long-term rise in the average temperature of the Earth's climate system.
22,claim-1607,CO2 limits won't cool the planet.,NOT_ENOUGH_INFO,evidence-370378,"If cloud cover increases, more sunlight will be reflected back into space, cooling the planet."
23,claim-761,[Riebesell] is a world authority on the topic and has typically communicated cautiously about the effects of acidification.,NOT_ENOUGH_INFO,evidence-1129386,Perhaps one of the most recent adverse effects of climate change to be explored is that of ocean acidification.
24,claim-761,[Riebesell] is a world authority on the topic and has typically communicated cautiously about the effects of acidification.,NOT_ENOUGH_INFO,evidence-456747,"Climate change is more accurate scientifically to describe the various effects of greenhouse gases on the world because it includes extreme weather, storms and changes in rainfall patterns, ocean acidification and sea level.""."
25,claim-761,[Riebesell] is a world authority on the topic and has typically communicated cautiously about the effects of acidification.,NOT_ENOUGH_INFO,evidence-625922,"The direction and magnitude of the effects of ocean acidification, warming and deoxygenation on the ocean has been quantified by meta-analyses, and has been further tested by mesocosm studies."
26,claim-761,[Riebesell] is a world authority on the topic and has typically communicated cautiously about the effects of acidification.,NOT_ENOUGH_INFO,evidence-590068,"(2013) ""Meta‐analysis reveals complex marine biological responses to the interactive effects of ocean acidification and warming""."
27,claim-761,[Riebesell] is a world authority on the topic and has typically communicated cautiously about the effects of acidification.,NOT_ENOUGH_INFO,evidence-741718,"Both are informed by chemical oceanography, which studies the behavior of elements and molecules within the oceans: particularly, at the moment, the ocean's role in the carbon cycle and carbon dioxide's role in the increasing acidification of seawater."
28,claim-1718,The actual data show high northern latitudes are warmer today than in 1940.,SUPPORTS,evidence-857561,"It is, however, expected that future warming will follow a similar geographical pattern to that seen already, with greatest warming over land and high northern latitudes, and least over the Southern Ocean and parts of the North Atlantic Ocean."
29,claim-1718,The actual data show high northern latitudes are warmer today than in 1940.,SUPPORTS,evidence-1150493,"Changes in regional climate are expected to include greater warming over land, with most warming at high northern latitudes, and least warming over the Southern Ocean and parts of the North Atlantic Ocean."
30,claim-1273,"The rapid changes in the climate may have profound consequences for humans and other species… Severe drought caused food shortages for millions of people in Ethiopia, with a lack of rainfall resulting in “intense and widespread” forest fires in Indonesia that belched out a vast quantity of greenhouse gas",SUPPORTS,evidence-659559,"According to the WWF, the combination of climate change and deforestation increases the drying effect of dead trees that fuels forest fires."
31,claim-1273,"The rapid changes in the climate may have profound consequences for humans and other species… Severe drought caused food shortages for millions of people in Ethiopia, with a lack of rainfall resulting in “intense and widespread” forest fires in Indonesia that belched out a vast quantity of greenhouse gas",SUPPORTS,evidence-181656,"Recurring droughts leading to desertification in East Africa have created grave ecological catastrophes, prompting food shortages in 1984–85, 2006 and 2011."
32,claim-1273,"The rapid changes in the climate may have profound consequences for humans and other species… Severe drought caused food shortages for millions of people in Ethiopia, with a lack of rainfall resulting in “intense and widespread” forest fires in Indonesia that belched out a vast quantity of greenhouse gas",SUPPORTS,evidence-499929,"A 17-year-long civil war, along with severe drought, negatively impacted Ethiopia's environmental conditions, leading to even greater habitat degradation."
33,claim-1273,"The rapid changes in the climate may have profound consequences for humans and other species… Severe drought caused food shortages for millions of people in Ethiopia, with a lack of rainfall resulting in “intense and widespread” forest fires in Indonesia that belched out a vast quantity of greenhouse gas",SUPPORTS,evidence-354699,A primary cause of the famine (one of the largest seen in the country) is that Ethiopia (and the surrounding Horn) was still recovering from the droughts which occurred in the mid-late 1970s.
34,claim-1786,CFCs contribute to global waerming at a small level.,REFUTES,evidence-845527,Hydrofluorocarbons are included in the Kyoto Protocol because of their very high Global Warming Potential and are facing calls to be regulated under the Montreal Protocol[dubious – discuss] due to the recognition of halocarbon contributions to climate change.
35,claim-1786,CFCs contribute to global waerming at a small level.,REFUTES,evidence-105411,"However, the hydrochlorofluorocarbons, or HCFCs, and hydrofluorocarbons, or HFCs, are now thought to contribute to anthropogenic global warming."
36,claim-1786,CFCs contribute to global waerming at a small level.,REFUTES,evidence-323167,"They are, however, greenhouse gases, with a high global warming potential (GWP), comparable to that of CFCs and HCFCs."
37,claim-2796,"Had he used the currently accepted value of approximately 3°C warming for a doubling of atmospheric CO2, Hansen would have correctly projected the ensuing global warming.",SUPPORTS,evidence-210167,An alternate scenario would keep the warming to below this if climate sensitivity were below 3 °C for doubled CO 2.
38,claim-2580,Volcanoes emit around 0.3 billion tonnes of CO2 per year.,DISPUTED,evidence-15399,"The volcano produces about 400,000 ± 100,000 tonnes per year (400,000 ± 100,000 t/a) of CO 2, which is about 0.2–0.6% of the worldwide CO 2 flux at subaerial volcanoes."
39,claim-2580,Volcanoes emit around 0.3 billion tonnes of CO2 per year.,DISPUTED,evidence-243372,Volcanic activity releases about 130 to 230 teragrams (145 million to 255 million short tons) of carbon dioxide each year.
40,claim-1219,Global warming is driving major melting on the surface of Greenland’s glaciers and is speeding up their travel into the sea.”,SUPPORTS,evidence-88825,"Surface temperature increases are greatest in the Arctic, which has contributed to the retreat of glaciers, permafrost, and sea ice."
41,claim-1219,Global warming is driving major melting on the surface of Greenland’s glaciers and is speeding up their travel into the sea.”,SUPPORTS,evidence-1127398,"This acceleration is due mostly to human-caused global warming, which is driving thermal expansion of seawater and the melting of land-based ice sheets and glaciers."
42,claim-1219,Global warming is driving major melting on the surface of Greenland’s glaciers and is speeding up their travel into the sea.”,SUPPORTS,evidence-1115033,"Global warming could lead to an increase in freshwater in the northern oceans, by melting glaciers in Greenland, and by increasing precipitation, especially through Siberian rivers."
43,claim-75,"The science is clear, climate change is making extreme weather events, including tornadoes, worse.",SUPPORTS,evidence-940688,"The main impact of global warming on the weather is an increase in extreme weather events such as heat waves, droughts, cyclones, blizzards and rainstorms."
44,claim-75,"The science is clear, climate change is making extreme weather events, including tornadoes, worse.",SUPPORTS,evidence-985094,"Documented long-term climate changes include changes in Arctic temperatures and ice, widespread changes in precipitation amounts, ocean salinity, wind patterns and extreme weather including droughts, heavy precipitation, heat waves and the intensity of tropical cyclones."
45,claim-75,"The science is clear, climate change is making extreme weather events, including tornadoes, worse.",SUPPORTS,evidence-8304,"As the Earth's climate warms, we are seeing many changes: stronger, more destructive hurricanes; heavier rainfall; more disastrous flooding; more areas of the world experiencing severe drought; and more heat waves."""
46,claim-75,"The science is clear, climate change is making extreme weather events, including tornadoes, worse.",SUPPORTS,evidence-653981,"This could lead to changing, and for all emissions scenarios more unpredictable, weather patterns around the world, less frost days, more extreme events (droughts and storm or flood disasters), and warmer sea temperatures and melting glaciers causing sea levels to rise."
47,claim-75,"The science is clear, climate change is making extreme weather events, including tornadoes, worse.",SUPPORTS,evidence-789848,"Climate change caused by human activities that emit greenhouse gases into the air is expected to affect the frequency of extreme weather events such as drought, extreme temperatures, flooding, high winds, and severe storms."
48,claim-2813,"In fact, the authors go on to estimate climate sensitivity from their findings, calculate a value between 2.3 to 4.1°C.",DISPUTED,evidence-679700,The IPCC literature assessment estimates that TCR likely lies between 1 °C and 2.5 °C.
49,claim-2813,"In fact, the authors go on to estimate climate sensitivity from their findings, calculate a value between 2.3 to 4.1°C.",DISPUTED,evidence-158204,"For constant humidity they computed a climate sensitivity of 2.3 °C per doubling of CO2 (which they rounded to 2, the value most often quoted from their work, in the abstract of the paper)."
50,claim-2813,"In fact, the authors go on to estimate climate sensitivity from their findings, calculate a value between 2.3 to 4.1°C.",DISPUTED,evidence-1049371,"The 1990 IPCC First Assessment Report estimated that equilibrium climate sensitivity to a doubling of CO 2 lay between 1.5 and 4.5 °C (2.7 and 8.1 °F), with a ""best guess in the light of current knowledge"" of 2.5 °C (4.5 °F)."
51,claim-2813,"In fact, the authors go on to estimate climate sensitivity from their findings, calculate a value between 2.3 to 4.1°C.",DISPUTED,evidence-358515,"IPCC authors concluded ECS is very likely to be greater than 1.5 °C (2.7 °F) and likely to lie in the range 2 to 4.5 °C (4 to 8.1 °F), with a most likely value of about 3 °C (5 °F)."
52,claim-2813,"In fact, the authors go on to estimate climate sensitivity from their findings, calculate a value between 2.3 to 4.1°C.",DISPUTED,evidence-920160,The IPCC Fifth Assessment Report reverted to the earlier range of 1.5 to 4.5 °C (2.7 to 8.1 °F) (high confidence) because some estimates using industrial-age data came out low.
53,claim-2335,Satellite measurements of infrared spectra over the past 40 years observe less energy escaping to space at the wavelengths associated with CO2.,NOT_ENOUGH_INFO,evidence-327103,"Cosmic-temperature measurements The VLT has detected, for the first time, carbon-monoxide molecules in a galaxy located almost 11 billion light-years away."
54,claim-2335,Satellite measurements of infrared spectra over the past 40 years observe less energy escaping to space at the wavelengths associated with CO2.,NOT_ENOUGH_INFO,evidence-740261,The LWIR (8–15 μm) region is especially useful since some radiation at these wavelengths can escape into space through the atmosphere.
55,claim-2335,Satellite measurements of infrared spectra over the past 40 years observe less energy escaping to space at the wavelengths associated with CO2.,NOT_ENOUGH_INFO,evidence-1085966,"The three channels use the same frequency but different carbon dioxide cell pressure, the corresponding weighting functions peaks at 29 km for channel 1, 37 km for channel 2 and 45 km for channel 3."
56,claim-2335,Satellite measurements of infrared spectra over the past 40 years observe less energy escaping to space at the wavelengths associated with CO2.,NOT_ENOUGH_INFO,evidence-701021,"The process of deriving trends from SSUs measurement has proved particularly difficult because of satellites drift, inter-calibration between different satellite with scant overlap and gas leak in the instrument carbon dioxide pressure cell, furthermore since the radiances measured by SSUs are due to emission by carbon dioxide the weighting functions move to higher altitudes as the carbon dioxide concentration in the stratosphere increase."
57,claim-2335,Satellite measurements of infrared spectra over the past 40 years observe less energy escaping to space at the wavelengths associated with CO2.,NOT_ENOUGH_INFO,evidence-472543,They measure radiances in various wavelength bands.
58,claim-161,"Extreme melting and changes to the climate like this has released pressure on to the continent, allowing the ground to rise up.",SUPPORTS,evidence-702708,The gravitational effects comes into play when a large ice sheet melts.
59,claim-2243,"The CO2 amplifies the warming and mixes through the atmosphere, spreading warming throughout the planet.",SUPPORTS,evidence-993522,The greenhouse effect is a process by which thermal radiation from a planetary atmosphere warms the planet's surface beyond the temperature it would have in the absence of its atmosphere.
60,claim-2243,"The CO2 amplifies the warming and mixes through the atmosphere, spreading warming throughout the planet.",SUPPORTS,evidence-1007525,"Absorption of infrared light at the vibrational frequencies of atmospheric carbon dioxide traps energy near the surface, warming the surface and the lower atmosphere."
61,claim-2243,"The CO2 amplifies the warming and mixes through the atmosphere, spreading warming throughout the planet.",SUPPORTS,evidence-368192,"Increases in atmospheric concentrations of CO 2 and other long-lived greenhouse gases such as methane, nitrous oxide and ozone have correspondingly strengthened their absorption and emission of infrared radiation, causing the rise in average global temperature since the mid-20th century."
62,claim-2243,"The CO2 amplifies the warming and mixes through the atmosphere, spreading warming throughout the planet.",SUPPORTS,evidence-991415,"Because water vapor is a greenhouse gas, this results in further warming and so is a ""positive feedback"" that amplifies the original warming."
63,claim-1256,"‘Next year or the year after, the Arctic will be free of ice’",DISPUTED,evidence-731434,Research shows that the Arctic may become ice-free in the summer for the first time in human history by 2040.
64,claim-1256,"‘Next year or the year after, the Arctic will be free of ice’",DISPUTED,evidence-39028,"""Expert predicts ice-free Arctic by 2020 as UN releases climate report""."
65,claim-1256,"‘Next year or the year after, the Arctic will be free of ice’",DISPUTED,evidence-1107462,"""US Navy predicts summer ice free Arctic by 2016""."
